File Name,Original File Size,Compressed Size,Compression Ratio,Compresssion Time,Decompression Time
DNACorpus2/YeMi,73689,27235,2.706,8.6,3.0
DNACorpus2/DaRe,62565020,19586457,3.194,14945.2,1888.0
DNACorpus2/EnIn,26403087,8609993,3.067,5396.8,764.6
DNACorpus2/HePy,1667825,566972,2.942,146.4,38.4
DNACorpus2/OrSa,43262523,14148071,3.058,9803.2,1343.8
DNACorpus2/EsCo,4641652,1593404,2.913,564.6,121.2
DNACorpus2/GaGa,148532294,46851765,3.17,40917.6,4781.4
DNACorpus2/WaMe,9144432,3112000,2.938,1445.2,253.0
DNACorpus2/ScPo,10652155,3590856,2.966,1742.0,291.8
DNACorpus2/AnCa,142189675,43665091,3.256,38822.4,4397.6
DNACorpus2/HaHi,3890005,1306708,2.977,445.6,98.0
DNACorpus2/HoSa,189752667,57200209,3.317,53534.6,5877.0
DNACorpus2/AeCa,1591049,556535,2.859,141.8,39.6
DNACorpus2/DrMe,32181429,10619042,3.031,7174.0,1005.2
DNACorpus2/BuEb,18940,7893,2.4,2.0,0.0
DNACorpus2/PlFa,8986712,2895744,3.103,1364.8,236.4
DNACorpus2/AgPh,43970,17442,2.521,6.0,1.8
